CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,GeoID,Region,District,Total,TotalRate,AARate,Age0_14,Age0_14Rate,Age15_24,Age15_24Rate,Age25_44,Age25_44Rate,Age45_64,Age45_64Rate,Age65Plus,Age65PlusRate,Total_Male,Total_MaleRate,AA_TotalMaleRate,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate,Total_Female,Total_FemaleRate,AA_TotalFemaleRate,Age0_14_Female,Age0_14_FemaleRate,Age15_24_Female,Age15_24_FemaleRate,Age25_44_Female,Age25_44_FemaleRate,Age45_64_Female,Age45_64_FemaleRate,Age45Plus_Female,Age45Plus_FemaleRate,Age65Plus_Female,Age65Plus_FemaleRate,White_Total,White_TotalRate,White_Age0_14,White_Age0_14Rate,White_Age15_24,White_Age15_24Rate,White_Age25_44,White_Age25_44Rate,White_Age45_64,White_Age45_64Rate,White_Age65Plus,White_Age65PlusRate,White_Total_Male,White_Total_MaleRate,White_Age0_14_Male,White_Age0_14_MaleRate,White_Age15_24_Male,White_Age15_24_MaleRate,White_Age25_44_Male,White_Age25_44_MaleRate,White_Age45_64_Male,White_Age45_64_MaleRate,White_Age65Plus_Male,White_Age65Plus_MaleRate,White_Total_Female,White_Total_FemaleRate,White_Age0_14_Female,White_Age0_14_FemaleRate,White_Age15_24_Female,White_Age15_24_FemaleRate,White_Age25_44_Female,White_Age25_44_FemaleRate,White_Age45_64_Female,White_Age45_64_FemaleRate,White_Age45Plus_Female,White_Age45Plus_FemaleRate,White_Age65Plus_Female,White_Age65Plus_FemaleRate,Black_Total,Black_TotalRate,Black_Age0_14,Black_Age0_14Rate,Black_Age15_24,Black_Age15_24Rate,Black_Age25_44,Black_Age25_44Rate,Black_Age45_64,Black_Age45_64Rate,Black_Age65Plus,Black_Age65PlusRate,Black_Total_Male,Black_Total_MaleRate,Black_Age0_14_Male,Black_Age0_14_MaleRate,Black_Age15_24_Male,Black_Age15_24_MaleRate,Black_Age25_44_Male,Black_Age25_44_MaleRate,Black_Age45_64_Male,Black_Age45_64_MaleRate,Black_Age65Plus_Male,Black_Age65Plus_MaleRate,Black_Total_Female,Black_Total_FemaleRate,Black_Age0_14_Female,Black_Age0_14_FemaleRate,Black_Age15_24_Female,Black_Age15_24_FemaleRate,Black_Age25_44_Female,Black_Age25_44_FemaleRate,Black_Age45_64_Female,Black_Age45_64_FemaleRate,Black_Age45Plus_Female,Black_Age45Plus_FemaleRate,Black_Age65Plus_Female,Black_Age65Plus_FemaleRate,Hispanic_Total,Hispanic_TotalRate,Hispanic_Age0_14,Hispanic_Age0_14Rate,Hispanic_Age15_24,Hispanic_Age15_24Rate,Hispanic_Age25_44,Hispanic_Age25_44Rate,Hispanic_Age45_64,Hispanic_Age45_64Rate,Hispanic_Age65Plus,Hispanic_Age65PlusRate,Hispanic_Total_Male,Hispanic_Total_MaleRate,Hispanic_Age0_14_Male,Hispanic_Age0_14_MaleRate,Hispanic_Age15_24_Male,Hispanic_Age15_24_MaleRate,Hispanic_Age25_44_Male,Hispanic_Age25_44_MaleRate,Hispanic_Age45_64_Male,Hispanic_Age45_64_MaleRate,Hispanic_Age65Plus_Male,Hispanic_Age65Plus_MaleRate,Hispanic_Total_Female,Hispanic_Total_FemaleRate,Hispanic_Age0_14_Female,Hispanic_Age0_14_FemaleRate,Hispanic_Age15_24_Female,Hispanic_Age15_24_FemaleRate,Hispanic_Age25_44_Female,Hispanic_Age25_44_FemaleRate,Hispanic_Age45_64_Female,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_Female,Hispanic_Age45Plus_FemaleRate,Hispanic_Age65Plus_Female,Hispanic_Age65Plus_FemaleRate,API_Total,API_TotalRate,API_Age0_14,API_Age0_14Rate,API_Age15_24,API_Age15_24Rate,API_Age25_44,API_Age25_44Rate,API_Age45_64,API_Age45_64Rate,API_Age65Plus,API_Age65PlusRate,API_Total_Male,API_Total_MaleRate,API_Age0_14_Male,API_Age0_14_MaleRate,API_Age15_24_Male,API_Age15_24_MaleRate,API_Age25_44_Male,API_Age25_44_MaleRate,API_Age45_64_Male,API_Age45_64_MaleRate,API_Age65Plus_Male,API_Age65Plus_MaleRate,API_Total_Female,API_Total_FemaleRate,API_Age0_14_Female,API_Age0_14_FemaleRate,API_Age15_24_Female,API_Age15_24_FemaleRate,API_Age25_44_Female,API_Age25_44_FemaleRate,API_Age45_64_Female,API_Age45_64_FemaleRate,API_Age45Plus_Female,API_Age45Plus_FemaleRate,API_Age65Plus_Female,API_Age65Plus_FemaleRate,AIAN_Total,AIAN_TotalRate,AIAN_Age0_14,AIAN_Age0_14Rate,AIAN_Age15_24,AIAN_Age15_24Rate,AIAN_Age25_44,AIAN_Age25_44Rate,AIAN_Age45_64,AIAN_Age45_64Rate,AIAN_Age65Plus,AIAN_Age65PlusRate,AIAN_Total_Male,AIAN_Total_MaleRate,AIAN_Age0_14_Male,AIAN_Age0_14_MaleRate,AIAN_Age15_24_Male,AIAN_Age15_24_MaleRate,AIAN_Age25_44_Male,AIAN_Age25_44_MaleRate,AIAN_Age45_64_Male,AIAN_Age45_64_MaleRate,AIAN_Age65Plus_Male,AIAN_Age65Plus_MaleRate,AIAN_Total_Female,AIAN_Total_FemaleRate,AIAN_Age0_14_Female,AIAN_Age0_14_FemaleRate,AIAN_Age15_24_Female,AIAN_Age15_24_FemaleRate,AIAN_Age25_44_Female,AIAN_Age25_44_FemaleRate,AIAN_Age45_64_Female,AIAN_Age45_64_FemaleRate,AIAN_Age45Plus_Female,AIAN_Age45Plus_FemaleRate,AIAN_Age65Plus_Female,AIAN_Age65Plus_FemaleRate,Other_notAIAN_Total,Other_notAIAN_TotalRate,Other_notAIAN_Age0_14,Other_notAIAN_Age0_14Rate,Other_notAIAN_Age15_24,Other_notAIAN_Age15_24Rate,Other_notAIAN_Age25_44,Other_notAIAN_Age25_44Rate,Other_notAIAN_Age45_64,Other_notAIAN_Age45_64Rate,Other_notAIAN_Age65Plus,Other_notAIAN_Age65PlusRate,Other_notAIAN_Total_Male,Other_notAIAN_Total_MaleRate,Other_notAIAN_Age0_14_Male,Other_notAIAN_Age0_14_MaleRate,Other_notAIAN_Age15_24_Male,Other_notAIAN_Age15_24_MaleRate,Other_notAIAN_Age25_44_Male,Other_notAIAN_Age25_44_MaleRate,Other_notAIAN_Age45_64_Male,Other_notAIAN_Age45_64_MaleRate,Other_notAIAN_Age65Plus_Male,Other_notAIAN_Age65Plus_MaleRate,Other_notAIAN_Total_Female,Other_notAIAN_Total_FemaleRate,Other_notAIAN_Age0_14_Female,Other_notAIAN_Age0_14_FemaleRate,Other_notAIAN_Age15_24_Female,Other_notAIAN_Age15_24_FemaleRate,Other_notAIAN_Age25_44_Female,Other_notAIAN_Age25_44_FemaleRate,Other_notAIAN_Age45_64_Female,Other_notAIAN_Age45_64_FemaleRate,Other_notAIAN_Age45Plus_Female,Other_notAIAN_Age45Plus_FemaleRate,Other_notAIAN_Age65Plus_Female,Other_notAIAN_Age65Plus_FemaleRate
Alzheimer's Disease,Death,2017,El Cajon,SRA,EL CAJON,34,EAST,Supervisorial District 2,63,49.09,39.27,,,,,,,,,61,307.78,19,30.45,31.49,,,,,,,,,18,203.61,44,67.17,43.52,,,,,,,,,44,155.48,43,389.19,49,66.67,,,,,,,,,47,303.25,15,40.09,,,,,,,,,13,187.69,34,92.81,,,,,,,,,34,177.26,34,397.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22.98,,,,,,,,,9,337.07,,,,,,,,,,,,,6,33.65,,,,,,,,,6,116.08,6,417.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Harbison Crest,SRA,HARBISON CREST,37,EAST,Supervisorial District 5,6,39.28,32.4,,,,,,,,,6,245.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,53.66,,,,,,,,,5,249.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Harbison Crest-El Cajon,NA,HARBISON CREST-EL CAJON,99,EAST,Supervisorial District 2,69,48.05,38.57,,,,,,,,,67,301.21,21,29.89,31.05,,,,,,,,,19,199.8,48,65.68,42.69,,,,,,,,,48,151.89,47,380.51,54,65.26,,,,,,,,,51,297.45,16,39.47,,,,,,,,,14,185.26,37,90.64,,,,,,,,,37,172.99,37,388.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22.52,,,,,,,,,10,329.82,,,,,,,,,,,,,7,33.01,,,,,,,,,7,114.03,7,409.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Jamul,SRA,JAMUL,30,EAST,Supervisorial District 2,6,32.82,31.8,,,,,,,,,6,220.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,La Mesa,SRA,LA MESA,33,EAST,Supervisorial District 2,35,56.21,37,,,,,,,,,35,337.92,8,27.32,24.56,,,,,,,,,8,187.82,27,83.99,44.06,,,,,,,,,27,186.29,27,450.51,30,86.91,,,,,,,,,30,383.13,8,48.32,,,,,,,,,8,245.25,22,124.65,,,,,,,,,22,226.19,22,486.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Laguna-Pine Valley,SRA,LAGUNA-PINE VALLEY,61,EAST,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Lakeside,SRA,LAKESIDE,36,EAST,Supervisorial District 2,16,26.43,21.76,,,,,,,,,16,167.99,,,,,,,,,,,,,,13,42.54,28.82,,,,,,,,,13,97.27,13,248.36,14,36.49,,,,,,,,,14,185.89,,,,,,,,,,,,,12,60.87,,,,,,,,,12,120.16,12,288.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Lemon Grove,SRA,LEMON GROVE,32,EAST,Supervisorial District 2,16,51.78,50.04,,,,,,,,,16,400.78,,,,,,,,,,,,,,13,80.76,60.97,,,,,,,,,13,207.6,13,556.24,7,79.4,,,,,,,,,7,363.62,,,,,,,,,,,,,6,134.76,,,,,,,,,6,255.09,6,561.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Mountain Empire,SRA,MOUNTAIN EMPIRE,62,EAST,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Santee,SRA,SANTEE,35,EAST,Supervisorial District 2,20,36.56,30.77,,,,,,,,,20,239.53,8,31.18,33.79,,,,,,,,,8,224.09,12,41.72,28.84,,,,,,,,,12,94.5,12,251.93,16,44.1,,,,,,,,,16,238.23,6,35.45,,,,,,,,,6,210.81,10,52.61,,,,,,,,,10,103.83,10,260.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Spring Valley,SRA,SPRING VALLEY,31,EAST,Supervisorial District 2,32,38.42,35.16,,,,,,,,,31,262.19,9,22.1,26.67,,,,,,,,,9,175.41,23,54.3,40.09,,,,,,,,,23,132.56,22,330.53,25,72.15,,,,,,,,,24,312.17,7,41.11,,,,,,,,,7,204.25,18,103.32,,,,,,,,,18,192.18,17,403.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15.04,,,,,,,,,5,217.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,North Central Region,Region,NORTH CENTRAL,2,NORTH CENTRAL,NA,278,42.11,34.55,,,,,,,,,276,285.53,96,28.94,30.64,,,,,,,,,96,222.6,182,55.42,36.98,,,,,,,,,182,134.25,180,336.22,229,62.22,,,,,,,,,228,323.77,81,42.97,,,,,,,,,81,251.69,148,82.43,,,,,,,,,148,171.44,147,384.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12.25,,,,,,,,,15,182.19,,,,,,,,,,,,,11,17.75,,,,,,,,,11,62.44,11,228.6,27,22.66,,,,,,,,,27,183.87,8,14.1,,,,,,,,,8,132.67,19,30.45,,,,,,,,,19,74.91,19,219.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Coastal,SRA,COASTAL,11,NORTH CENTRAL,Supervisorial District 4,41,47.57,30.87,,,,,,,,,41,275.93,13,30.58,26.44,,,,,,,,,13,200.13,28,64.95,33.29,,,,,,,,,28,153.61,28,337.55,37,59,,,,,,,,,37,290.5,13,38.83,,,,,,,,,13,214.69,25,80.24,,,,,,,,,25,174.99,25,354.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Del Mar-Mira Mesa,SRA,DEL MAR-MIRA MESA,13,NORTH CENTRAL,Supervisorial District 3,46,26.9,32.45,,,,,,,,,46,211.99,12,14.33,21.88,,,,,,,,,12,125.3,34,39.65,39.33,,,,,,,,,34,93.76,34,284.02,29,38.23,,,,,,,,,29,235.25,7,18.88,,,,,,,,,7,126.15,22,59.06,,,,,,,,,22,119.35,22,334.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,26.37,,,,,,,,,15,211.62,,,,,,,,,,,,,11,37.5,,,,,,,,,11,86.86,11,269.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Elliott-Navajo,SRA,ELLIOTT-NAVAJO,17,NORTH CENTRAL,Supervisorial District 3,57,60.28,43.93,,,,,,,,,57,356.76,23,48.77,43.27,,,,,,,,,23,320.55,34,71.32,43.82,,,,,,,,,34,162.11,34,385.32,51,87.85,,,,,,,,,51,400.61,20,70.52,,,,,,,,,20,353.85,31,104.93,,,,,,,,,31,204.06,31,439.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Kearny Mesa,SRA,KEARNY MESA,10,NORTH CENTRAL,Supervisorial District 4,68,40.34,30.72,,,,,,,,,68,269.79,20,24.05,24.14,,,,,,,,,20,184.71,48,56.4,35.29,,,,,,,,,48,136.33,47,335.54,55,62.03,,,,,,,,,55,310.95,17,38.7,,,,,,,,,17,219.88,37,85.83,,,,,,,,,37,173.94,37,384.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12.64,,,,,,,,,6,172.02,,,,,,,,,,,,,5,20.38,,,,,,,,,5,70.56,5,242.72,6,24.65,,,,,,,,,6,173.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Miramar,SRA,MIRAMAR,16,NORTH CENTRAL,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,Peninsula,SRA,PENINSULA,2,NORTH CENTRAL,Supervisorial District 4,37,53.55,40.78,,,,,,,,,36,344.29,12,33.23,34.54,,,,,,,,,12,255.37,25,76.65,45.48,,,,,,,,,25,184,24,421.02,33,67.98,,,,,,,,,32,361.76,11,43.43,,,,,,,,,11,273,22,96.5,,,,,,,,,22,205.9,21,440.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,University,SRA,UNIVERSITY,12,NORTH CENTRAL,Supervisorial District 3,26,37.37,29.93,,,,,,,,,26,265.99,12,33.47,32.44,,,,,,,,,12,266.47,15,41.16,28.12,,,,,,,,,15,115.94,15,265.61,23,62.78,,,,,,,,,23,318.7,9,52.18,,,,,,,,,9,298.48,13,73.3,,,,,,,,,13,166.43,13,334.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Disease,Death,2017,North Coastal Region,Region,NORTH COASTAL,1,NORTH COASTAL,NA,285,51.31,41.23,,,,,,,,,284,343.14,93,32.93,34.82,,,,,,,,,92,249.7,192,70.3,45.23,,,,,,,,,192,164.7,192,418.12,253,78.9,,,,,,,,,252,395.33,86,52.01,,,,,,,,,85,293.34,167,107.53,,,,,,,,,167,211.24,167,480.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,11.85,,,,,,,,,19,182.32,,,,,,,,,,,,,16,20.05,,,,,,,,,16,70.58,16,264.46,8,21.19,,,,,,,,,8,136.03,,,,,,,,,,,,,7,34.14,,,,,,,,,7,70.43,7,192.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
