From,To
@tznkai,"@_cingraham,@pegobry,@SenSanders"
@savyone23,"@_cingraham,@pegobry,@SenSanders"
@DSN_MikeJohnsen,"@,@McKideaShare"
@sarahjanekyle,"@,@PoudreSchools.,@coloradoan"
@dawterofliberty,"@4thAnon,@aspiritcan"
@NursesWhoVax,"@A_Rappagliosi,@Voices4Vaccines"
@PubHealthSci,"@A_Rappagliosi,@Voices4Vaccines"
@MyBrigitte,"@A_Rappagliosi,@Voices4Vaccines"
@jmeigsjr,@aafpprez
@GDOTWestTraffic,@aafpprez
@VOANorman,@AdamMinter
@Prairies,@AdamMinter
@cmcnguyen,"@aetiology,@maiamajumder"
@kristinsullivan,"@aetiology,@maiamajumder"
@mightybattlecat,"@aetiology,@maiamajumder"
@DrPanMD,@AFHSBPAGE
@NVICLoeDown,@AFHSBPAGE
@Globalyze_,@agreencleveland
@GeminisRegio,@alienfirst
@postpartumstory,@alienfirst
@laura_sprague,@and_kell
@joegooding,@and_kell
@emmathurn,@and_kell
@Nemo_III,@and_kell
@SFdirewolf,@AndrewPulrang
@spacatti,@AndrewPulrang
@KatWaterflame,@AnemoneTea
@whatdivawants,@AnemoneTea
@jamesjhaeck,@AnemoneTea
@OTCbike,"@AngeliqueAshby,@OTCbike,@DrPanMD,@Steinberg4Sac,@TheCityofSac,@SacramentoCVB,@DowntownSac"
@gijacklin,"@AngeliqueAshby,@OTCbike,@DrPanMD,@Steinberg4Sac,@TheCityofSac,@SacramentoCVB,@DowntownSac"
@DowntownSac,"@AngeliqueAshby,@OTCbike,@DrPanMD,@Steinberg4Sac,@TheCityofSac,@SacramentoCVB,@DowntownSac"
@Katinsac,"@AngeliqueAshby,@OTCbike,@DrPanMD,@Steinberg4Sac,@TheCityofSac,@SacramentoCVB,@DowntownSac"
@kenjbarnes1,"@AngeliqueAshby,@OTCbike,@DrPanMD,@Steinberg4Sac,@TheCityofSac,@SacramentoCVB,@DowntownSac"
@CalicoInsite,@AnonymTipster
@waynerohde,@aribertdeckers
@waynerohde,@aribertdeckers
@CHolmes87,@ASPCA
@dmilat68,@aspiesmom
@tony_mcdowell,"@aspiring_dm,@VoiceOfOBrien,@CriticalRole,@matthewmercer"
@peakdavid,@aspiritcan
@joegooding,@aspiritcan
@dawterofliberty,@aspiritcan
@ComplexPharm,@aspiritcan
@yesmaam74,@aspiritcan
@dawterofliberty,@aspiritcan
@AwakeningLib,@aspiritcan
@TrafficHubNow,@aspiritcan
@GDOTWestTraffic,@aspiritcan
@FundedJustice,@aspiritcan
@BethIsAwake,@aspiritcan
@PergamIC,@aspiritcan
@CAWalks,@aspiritcan
@icansketchu,@aspiritcan
@trabbez,@aspiritcan
@trabbez,@aspiritcan
@vaxxedStLouis,@AutismOne
@Burness,@AVACNow
@ARAdultImmDoc,@AVACNow
@soybean52,@avoiceforchoice
@DearVegAbby,@avoiceforchoice
@defendressofsan,@avoiceforchoice
@LydiaMFanfan,@B_pertussis
@surfthespectrum,@Bec2629
@doritmi,"@BeckyJohnson222,@JenniferRaff"
@2ndfor1st,"@BeckyJohnson222,@JenniferRaff"
@doritmi,"@BeckyJohnson222,@skepticalraptor"
@CaseyDanson,"@BeckyJohnson222,@skepticalraptor"
@CaseyDanson,"@BeckyJohnson222,@skepticalraptor"
@DearVegAbby,@BenAllenCA
@abramovitzra,@BenAllenCA
